ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
2000000262	2000000262	0	0
2000000263	2000000263	0	0
2000000264	2000000264	0	0
2000000270	2000000270	0	0
2000000271	2000000271	0	0
2000000272	2000000272	0	0
2000000273	2000000273	0	0
2000000274	2000000274	0	0
2000000275	2000000275	0	0
2000000276	2000000276	0	0
2000000277	2000000277	0	0
2000000278	2000000278	0	0
2000000279	2000000279	0	0
2000000280	2000000280	0	0
2000000281	2000000281	0	0
2000000282	2000000282	0	0
2000000282	2000000282	0	0
2000000283	2000000283	0	0
2000000283	2000000283	0	0
2000000284	2000000284	0	0
2000000284	2000000284	0	0
2000000285	2000000285	0	0
2000000285	2000000285	0	0
2000000286	2000000286	0	0
2000000286	2000000286	0	0
2000000287	2000000287	0	0
2000000288	2000000288	0	0
2000000289	2000000289	0	0
2000000290	2000000290	0	0
2000000291	2000000291	0	0
2000000292	2000000292	0	0
2000000293	2000000293	0	0
2000000294	2000000294	0	0
2000000295	2000000295	0	0
2000000296	2000000296	0	0
2000000297	2000000297	0	0
2000000298	2000000298	0	0
2000000299	2000000299	0	0
2000000300	2000000300	0	0
2000000301	2000000301	0	0
2000000302	2000000302	0	0
2000000303	2000000303	0	0
2000000304	2000000304	0	0
2000000305	2000000305	0	0
2000000306	2000000306	0	0
2000000307	2000000307	0	0
2000000308	2000000308	0	0
2000000309	2000000309	0	0
2000000310	2000000310	0	0
2000000311	2000000311	0	0
2000000312	2000000312	0	0
2000000313	2000000313	0	0
2000000314	2000000314	0	0
2000000315	2000000315	0	0
2000000316	2000000316	0	0
2000000317	2000000317	0	0
2000000318	2000000318	0	0
2000000319	2000000319	0	0
2000000320	2000000320	0	0
2000000321	2000000321	0	0
2000000322	2000000322	0	0
2000000323	2000000323	0	0
2000000324	2000000324	0	0
2000000325	2000000325	0	0
2000000326	2000000326	0	0
2000000327	2000000327	0	0
2000000328	2000000328	0	0
2000000329	2000000329	0	0
2000000330	2000000330	0	0
2000000331	2000000331	0	0
2000000332	2000000332	0	0
2000000333	2000000333	0	0
2000000334	2000000334	0	0
2000000335	2000000335	0	0
2000000336	2000000336	0	0
2000000337	2000000337	0	0
2000000338	2000000338	0	0
2000000339	2000000339	0	0
2000000340	2000000340	0	0
2000000341	2000000341	0	0
2000000342	2000000342	0	0
2000000343	2000000343	0	0
2000000344	2000000344	0	0
2000000345	2000000345	0	0
2000000346	2000000346	0	0
2000000347	2000000347	0	0
2000000348	2000000348	0	0
2000000349	2000000349	0	0
2000000350	2000000350	0	0
2000000351	2000000351	0	0
2000000352	2000000352	0	0
2000000353	2000000353	0	0
2000000354	2000000354	0	0
2000000355	2000000355	0	0
2000000356	2000000356	0	0
2000000357	2000000357	0	0
2000000358	2000000358	0	0
2000000359	2000000359	0	0
2000000360	2000000360	0	0
2000000361	2000000361	0	0
2000000362	2000000362	0	0
2000000363	2000000363	0	0
2000000364	2000000364	0	0
2000000365	2000000365	0	0
2000000366	2000000366	0	0
2000000367	2000000367	0	0
2000000368	2000000368	0	0
2000000369	2000000369	0	0
2000000370	2000000370	0	0
2000000371	2000000371	0	0
2000000373	2000000373	0	0
2000000374	2000000374	0	0
2000000375	2000000375	0	0
2000000376	2000000376	0	0
2000000377	2000000377	0	0
2000000378	2000000378	0	0
2000000379	2000000379	0	0
2000000380	2000000380	0	0
2000000381	2000000381	0	0
2000000382	2000000382	0	0
2000000383	2000000383	0	0
2000000384	2000000384	0	0
